flight_number,flight_date,flight_id,status,airline_code,airline_name,route,origin,destination,leg_status,leg_status_name,departure_airport_code,departure_airport_name,departure_city_code,departure_city_name,departure_country_code,departure_country_name,departure_latitude,departure_longitude,scheduled_departure_time,latest_departure_time,arrival_airport_code,arrival_airport_name,arrival_city_code,arrival_city_name,arrival_country_code,arrival_country_name,arrival_latitude,arrival_longitude,scheduled_arrival_time,latest_arrival_time,estimated_arrival_time,scheduled_duration,completion_percentage,aircraft_type_code,aircraft_type_name,aircraft_owner
3918,2025-12-31,20251231+DL+3918,SCHEDULED,DL,DELTA AIR LINES INC.,SEA->PDX->SEA,SEA,SEA,CANCELLED,Cancelled,MKE,GENERAL MITCHELL INTERNATIONAL AIRPORT,MKE,MILWAUKEE,US,UNITED STATES,42.9503,-87.8972,2025-12-31T09:30:00.000-06:00,2025-12-31T09:30:00.000-06:00,DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DTT,DETROIT,US,UNITED STATES,42.2186,-83.3486,2025-12-31T11:40:00.000-05:00,2025-12-31T11:40:00.000-05:00,2025-12-31T11:40:00.000-05:00,PT1H10M,0,CR9,CANADAIR REGIONAL JET 900 AND CHALLENGER 890,SKYWEST AIRLINES
3918,2025-12-31,20251231+DL+3918,SCHEDULED,DL,DELTA AIR LINES INC.,SEA->PDX->SEA,SEA,SEA,CANCELLED,Cancelled,DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DTT,DETROIT,US,UNITED STATES,42.2186,-83.3486,2025-12-31T08:25:00.000-05:00,2025-12-31T08:25:00.000-05:00,MKE,GENERAL MITCHELL INTERNATIONAL AIRPORT,MKE,MILWAUKEE,US,UNITED STATES,42.9503,-87.8972,2025-12-31T08:45:00.000-06:00,2025-12-31T08:45:00.000-06:00,2025-12-31T08:45:00.000-06:00,PT1H20M,0,CR9,CANADAIR REGIONAL JET 900 AND CHALLENGER 890,SKYWEST AIRLINES
3918,2025-12-31,20251231+DL+3918,SCHEDULED,DL,DELTA AIR LINES INC.,SEA->PDX->SEA,SEA,SEA,SCHEDULED,Scheduled,SEA,SEATTLE-TACOMA INTERNATIONAL AIRPORT,SEA,SEATTLE,US,UNITED STATES,47.4472,-122.3056,2025-12-30T16:05:00.000-08:00,2025-12-30T16:05:00.000-08:00,PDX,PORTLAND INTERNATIONAL AIRPORT,PDX,PORTLAND,US,UNITED STATES,45.5892,-122.595,2025-12-30T17:07:00.000-08:00,2025-12-30T17:07:00.000-08:00,2025-12-30T17:07:00.000-08:00,PT1H2M,0,E7W,EMBRAER 175 (ENHANCED WINGLETS),SKYWEST AIRLINES
3918,2025-12-31,20251231+DL+3918,SCHEDULED,DL,DELTA AIR LINES INC.,SEA->PDX->SEA,SEA,SEA,SCHEDULED,Scheduled,PDX,PORTLAND INTERNATIONAL AIRPORT,PDX,PORTLAND,US,UNITED STATES,45.5892,-122.595,2025-12-30T17:45:00.000-08:00,2025-12-30T17:45:00.000-08:00,SEA,SEATTLE-TACOMA INTERNATIONAL AIRPORT,SEA,SEATTLE,US,UNITED STATES,47.4472,-122.3056,2025-12-30T18:48:00.000-08:00,2025-12-30T18:48:00.000-08:00,2025-12-30T18:48:00.000-08:00,PT1H3M,0,E7W,EMBRAER 175 (ENHANCED WINGLETS),SKYWEST AIRLINES
2059,2025-12-31,20251231+DL+2059,SCHEDULED,DL,DELTA AIR LINES INC.,BNA->ATL,BNA,ATL,CANCELLED,Cancelled,MSP,MINNEAPOLIS INTERNATIONAL AIRPORT,MSP,MINNEAPOLIS/ST PAUL,US,UNITED STATES,44.8861,-93.2178,2025-12-31T07:00:00.000-06:00,2025-12-31T07:00:00.000-06:00,CLE,HOPKINS INTERNATIONAL AIRPORT,CLE,CLEVELAND,US,UNITED STATES,41.4119,-81.8481,2025-12-31T09:55:00.000-05:00,2025-12-31T09:55:00.000-05:00,2025-12-31T09:55:00.000-05:00,PT1H55M,0,717,BOEING 717-200,DELTA AIR LINES INC.
2059,2025-12-31,20251231+DL+2059,SCHEDULED,DL,DELTA AIR LINES INC.,BNA->ATL,BNA,ATL,CANCELLED,Cancelled,CLE,HOPKINS INTERNATIONAL AIRPORT,CLE,CLEVELAND,US,UNITED STATES,41.4119,-81.8481,2025-12-31T11:00:00.000-05:00,2025-12-31T11:00:00.000-05:00,MSP,MINNEAPOLIS INTERNATIONAL AIRPORT,MSP,MINNEAPOLIS/ST PAUL,US,UNITED STATES,44.8861,-93.2178,2025-12-31T12:04:00.000-06:00,2025-12-31T12:04:00.000-06:00,2025-12-31T12:04:00.000-06:00,PT2H4M,0,717,BOEING 717-200,DELTA AIR LINES INC.
2059,2025-12-31,20251231+DL+2059,SCHEDULED,DL,DELTA AIR LINES INC.,BNA->ATL,BNA,ATL,SCHEDULED,Scheduled,BNA,NASHVILLE INTERNATIONAL AIRPORT,BNA,NASHVILLE,US,UNITED STATES,36.1267,-86.6819,2025-12-30T18:06:00.000-06:00,2025-12-30T18:06:00.000-06:00,ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATL,ATLANTA,US,UNITED STATES,33.6408,-84.4272,2025-12-30T20:19:00.000-05:00,2025-12-30T20:19:00.000-05:00,2025-12-30T20:19:00.000-05:00,PT1H13M,0,717,BOEING 717-200,DELTA AIR LINES INC.
674,2025-12-31,20251231+DL+0674,SCHEDULED,DL,DELTA AIR LINES INC.,SLC->SNA->SLC,SLC,SLC,CANCELLED,Cancelled,MSP,MINNEAPOLIS INTERNATIONAL AIRPORT,MSP,MINNEAPOLIS/ST PAUL,US,UNITED STATES,44.8861,-93.2178,2025-12-30T20:25:00.000-06:00,2025-12-30T20:25:00.000-06:00,IND,INDIANAPOLIS INTERNATIONAL AIRPORT,IND,INDIANAPOLIS,US,UNITED STATES,39.7289,-86.2817,2025-12-30T23:01:00.000-05:00,2025-12-30T23:01:00.000-05:00,2025-12-30T23:01:00.000-05:00,PT1H36M,0,739,BOEING 737-900 PASSENGER,DELTA AIR LINES INC.
674,2025-12-31,20251231+DL+0674,SCHEDULED,DL,DELTA AIR LINES INC.,SLC->SNA->SLC,SLC,SLC,CANCELLED,Cancelled,MSP,MINNEAPOLIS INTERNATIONAL AIRPORT,MSP,MINNEAPOLIS/ST PAUL,US,UNITED STATES,44.8861,-93.2178,2025-12-31T12:45:00.000-06:00,2025-12-31T12:45:00.000-06:00,CLT,DOUGLAS INTERNATIONAL AIRPORT,CLT,CHARLOTTE,US,UNITED STATES,35.2192,-80.9358,2025-12-31T16:18:00.000-05:00,2025-12-31T16:18:00.000-05:00,2025-12-31T16:18:00.000-05:00,PT2H33M,0,717,BOEING 717-200,DELTA AIR LINES INC.
674,2025-12-31,20251231+DL+0674,SCHEDULED,DL,DELTA AIR LINES INC.,SLC->SNA->SLC,SLC,SLC,CANCELLED,Cancelled,CLT,DOUGLAS INTERNATIONAL AIRPORT,CLT,CHARLOTTE,US,UNITED STATES,35.2192,-80.9358,2025-12-31T16:55:00.000-05:00,2025-12-31T16:55:00.000-05:00,MSP,MINNEAPOLIS INTERNATIONAL AIRPORT,MSP,MINNEAPOLIS/ST PAUL,US,UNITED STATES,44.8861,-93.2178,2025-12-31T18:54:00.000-06:00,2025-12-31T18:54:00.000-06:00,2025-12-31T18:54:00.000-06:00,PT2H59M,0,717,BOEING 717-200,DELTA AIR LINES INC.
674,2025-12-31,20251231+DL+0674,SCHEDULED,DL,DELTA AIR LINES INC.,SLC->SNA->SLC,SLC,SLC,SCHEDULED,Scheduled,SLC,SALT LAKE CITY INTERNATIONAL AIRPORT,SLC,SALT LAKE CITY,US,UNITED STATES,40.7842,-111.9669,2025-12-30T17:10:00.000-07:00,2025-12-30T17:10:00.000-07:00,SNA,JOHN WAYNE AIRPORT,SNA,SANTA ANA,US,UNITED STATES,33.6756,-117.8669,2025-12-30T18:13:00.000-08:00,2025-12-30T18:13:00.000-08:00,2025-12-30T18:13:00.000-08:00,PT2H3M,0,221,AIRBUS A220-100 PASSENGER,DELTA AIR LINES INC.
674,2025-12-31,20251231+DL+0674,SCHEDULED,DL,DELTA AIR LINES INC.,SLC->SNA->SLC,SLC,SLC,SCHEDULED,Scheduled,SNA,JOHN WAYNE AIRPORT,SNA,SANTA ANA,US,UNITED STATES,33.6756,-117.8669,2025-12-30T19:05:00.000-08:00,2025-12-30T19:05:00.000-08:00,SLC,SALT LAKE CITY INTERNATIONAL AIRPORT,SLC,SALT LAKE CITY,US,UNITED STATES,40.7842,-111.9669,2025-12-30T22:03:00.000-07:00,2025-12-30T22:03:00.000-07:00,2025-12-30T22:03:00.000-07:00,PT1H58M,0,221,AIRBUS A220-100 PASSENGER,DELTA AIR LINES INC.
1085,2025-12-31,20251231+DL+1085,SCHEDULED,DL,DELTA AIR LINES INC.,SLC->SFO->SLC,SLC,SLC,CANCELLED,Cancelled,GSO,PIEDMONT TRIAD INTERNATIONAL AIRPORT,GSO,GREENSBORO/HIGH POINT,US,UNITED STATES,36.0919,-79.9428,2025-12-31T08:20:00.000-05:00,2025-12-31T08:20:00.000-05:00,ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATL,ATLANTA,US,UNITED STATES,33.6408,-84.4272,2025-12-31T09:47:00.000-05:00,2025-12-31T09:47:00.000-05:00,2025-12-31T09:47:00.000-05:00,PT1H27M,0,717,BOEING 717-200,DELTA AIR LINES INC.
1085,2025-12-31,20251231+DL+1085,SCHEDULED,DL,DELTA AIR LINES INC.,SLC->SFO->SLC,SLC,SLC,SCHEDULED,Scheduled,SLC,SALT LAKE CITY INTERNATIONAL AIRPORT,SLC,SALT LAKE CITY,US,UNITED STATES,40.7842,-111.9669,2025-12-30T17:10:00.000-07:00,2025-12-30T17:10:00.000-07:00,SFO,SAN FRANCISCO INTERNATIONAL AIRPORT,SFO,SAN FRANCISCO,US,UNITED STATES,37.6194,-122.3728,2025-12-30T18:18:00.000-08:00,2025-12-30T18:18:00.000-08:00,2025-12-30T18:18:00.000-08:00,PT2H8M,0,319,AIRBUS A319,DELTA AIR LINES INC.
1085,2025-12-31,20251231+DL+1085,SCHEDULED,DL,DELTA AIR LINES INC.,SLC->SFO->SLC,SLC,SLC,SCHEDULED,Scheduled,SFO,SAN FRANCISCO INTERNATIONAL AIRPORT,SFO,SAN FRANCISCO,US,UNITED STATES,37.6194,-122.3728,2025-12-30T19:17:00.000-08:00,2025-12-30T19:17:00.000-08:00,SLC,SALT LAKE CITY INTERNATIONAL AIRPORT,SLC,SALT LAKE CITY,US,UNITED STATES,40.7842,-111.9669,2025-12-30T22:15:00.000-07:00,2025-12-30T22:15:00.000-07:00,2025-12-30T22:15:00.000-07:00,PT1H58M,0,319,AIRBUS A319,DELTA AIR LINES INC.
3842,2025-12-31,20251231+DL+3842,SCHEDULED,DL,DELTA AIR LINES INC.,SLC->JAC,SLC,JAC,CANCELLED,Cancelled,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LAX,LOS ANGELES,US,UNITED STATES,33.9422,-118.4072,2025-12-31T13:35:00.000-08:00,2025-12-31T13:35:00.000-08:00,SJC,SAN JOSE INTERNATIONAL AIRPORT,SJC,SAN JOSE,US,UNITED STATES,37.3611,-121.9256,2025-12-31T14:51:00.000-08:00,2025-12-31T14:51:00.000-08:00,2025-12-31T14:51:00.000-08:00,PT1H16M,0,E7W,EMBRAER 175 (ENHANCED WINGLETS),SKYWEST AIRLINES
3842,2025-12-31,20251231+DL+3842,SCHEDULED,DL,DELTA AIR LINES INC.,SLC->JAC,SLC,JAC,CANCELLED,Cancelled,SJC,SAN JOSE INTERNATIONAL AIRPORT,SJC,SAN JOSE,US,UNITED STATES,37.3611,-121.9256,2025-12-31T15:45:00.000-08:00,2025-12-31T15:45:00.000-08:00,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LAX,LOS ANGELES,US,UNITED STATES,33.9422,-118.4072,2025-12-31T17:14:00.000-08:00,2025-12-31T17:14:00.000-08:00,2025-12-31T17:14:00.000-08:00,PT1H29M,0,E7W,EMBRAER 175 (ENHANCED WINGLETS),SKYWEST AIRLINES
3842,2025-12-31,20251231+DL+3842,SCHEDULED,DL,DELTA AIR LINES INC.,SLC->JAC,SLC,JAC,CANCELLED,Cancelled,YVR,VANCOUVER INTERNATIONAL AIRPORT,YVR,VANCOUVER,CA,CANADA,49.1872,-123.1853,2025-12-31T15:50:00.000-08:00,2025-12-31T15:50:00.000-08:00,SEA,SEATTLE-TACOMA INTERNATIONAL AIRPORT,SEA,SEATTLE,US,UNITED STATES,47.4472,-122.3056,2025-12-31T16:59:00.000-08:00,2025-12-31T16:59:00.000-08:00,2025-12-31T16:59:00.000-08:00,PT1H9M,0,E7W,EMBRAER 175 (ENHANCED WINGLETS),SKYWEST AIRLINES
3842,2025-12-31,20251231+DL+3842,SCHEDULED,DL,DELTA AIR LINES INC.,SLC->JAC,SLC,JAC,SCHEDULED,Scheduled,SLC,SALT LAKE CITY INTERNATIONAL AIRPORT,SLC,SALT LAKE CITY,US,UNITED STATES,40.7842,-111.9669,2025-12-30T17:10:00.000-07:00,2025-12-30T17:10:00.000-07:00,JAC,JACKSON HOLE AIRPORT,JAC,JACKSON,US,UNITED STATES,43.6067,-110.7369,2025-12-30T18:19:00.000-07:00,2025-12-30T18:19:00.000-07:00,2025-12-30T18:19:00.000-07:00,PT1H9M,0,E7W,EMBRAER 175 (ENHANCED WINGLETS),SKYWEST AIRLINES
5041,2025-12-31,20251231+DL+5041,SCHEDULED,DL,DELTA AIR LINES INC.,MSP->ICT,MSP,ICT,CANCELLED,Cancelled,DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DTT,DETROIT,US,UNITED STATES,42.2186,-83.3486,2025-12-31T10:00:00.000-05:00,2025-12-31T10:00:00.000-05:00,JFK,JOHN F. KENNEDY INTERNATIONAL AIRPORT,NYC,NEW YORK,US,UNITED STATES,40.6386,-73.7769,2025-12-31T12:00:00.000-05:00,2025-12-31T12:00:00.000-05:00,2025-12-31T12:00:00.000-05:00,PT2H,0,CR9,CANADAIR REGIONAL JET 900 AND CHALLENGER 890,ENDEAVOR AIR
5041,2025-12-31,20251231+DL+5041,SCHEDULED,DL,DELTA AIR LINES INC.,MSP->ICT,MSP,ICT,SCHEDULED,Scheduled,MSP,MINNEAPOLIS INTERNATIONAL AIRPORT,MSP,MINNEAPOLIS/ST PAUL,US,UNITED STATES,44.8861,-93.2178,2025-12-30T18:10:00.000-06:00,2025-12-30T18:10:00.000-06:00,ICT,DWIGHT D. EISENHOWER AIRPORT,ICT,WICHITA,US,UNITED STATES,37.6525,-97.4283,2025-12-30T19:57:00.000-06:00,2025-12-30T19:57:00.000-06:00,2025-12-30T19:57:00.000-06:00,PT1H47M,0,CR9,CANADAIR REGIONAL JET 900 AND CHALLENGER 890,ENDEAVOR AIR
559,2025-12-31,20251231+DL+0559,SCHEDULED,DL,DELTA AIR LINES INC.,MIA->LAX,MIA,LAX,CANCELLED,Cancelled,AUS,AUSTIN-BERGSTROM INTERNATIONAL AIRPORT,AUS,AUSTIN,US,UNITED STATES,30.2,-97.6667,2025-12-31T09:15:00.000-06:00,2025-12-31T09:15:00.000-06:00,DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DTT,DETROIT,US,UNITED STATES,42.2186,-83.3486,2025-12-31T13:15:00.000-05:00,2025-12-31T13:15:00.000-05:00,2025-12-31T13:15:00.000-05:00,PT3H,0,319,AIRBUS A319,DELTA AIR LINES INC.
559,2025-12-31,20251231+DL+0559,SCHEDULED,DL,DELTA AIR LINES INC.,MIA->LAX,MIA,LAX,SCHEDULED,Scheduled,MIA,MIAMI INTERNATIONAL AIRPORT,MIA,MIAMI,US,UNITED STATES,25.7925,-80.2861,2025-12-30T19:15:00.000-05:00,2025-12-30T19:15:00.000-05:00,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LAX,LOS ANGELES,US,UNITED STATES,33.9422,-118.4072,2025-12-30T22:09:00.000-08:00,2025-12-30T22:09:00.000-08:00,2025-12-30T22:09:00.000-08:00,PT5H54M,0,739,BOEING 737-900 PASSENGER,DELTA AIR LINES INC.
1359,2025-12-31,20251231+DL+1359,SCHEDULED,DL,DELTA AIR LINES INC.,ATL->PIT,ATL,PIT,CANCELLED,Cancelled,ECP,NW FLORIDA BEACHES INTERNATIONAL AIRPORT,ECP,PANAMA CITY,US,UNITED STATES,30.3578,-85.7989,2025-12-31T13:30:00.000-06:00,2025-12-31T13:30:00.000-06:00,ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATL,ATLANTA,US,UNITED STATES,33.6408,-84.4272,2025-12-31T15:42:00.000-05:00,2025-12-31T15:42:00.000-05:00,2025-12-31T15:42:00.000-05:00,PT1H12M,0,717,BOEING 717-200,DELTA AIR LINES INC.
1359,2025-12-31,20251231+DL+1359,SCHEDULED,DL,DELTA AIR LINES INC.,ATL->PIT,ATL,PIT,CANCELLED,Cancelled,SLC,SALT LAKE CITY INTERNATIONAL AIRPORT,SLC,SALT LAKE CITY,US,UNITED STATES,40.7842,-111.9669,2025-12-30T17:15:00.000-07:00,2025-12-30T17:15:00.000-07:00,MCI,KANSAS CITY INTERNATIONAL AIRPORT,MKC,KANSAS CITY,US,UNITED STATES,39.2928,-94.7267,2025-12-30T20:42:00.000-06:00,2025-12-30T20:42:00.000-06:00,2025-12-30T20:42:00.000-06:00,PT2H27M,0,223,AIRBUS A220-300 PASSENGER,DELTA AIR LINES INC.
1359,2025-12-31,20251231+DL+1359,SCHEDULED,DL,DELTA AIR LINES INC.,ATL->PIT,ATL,PIT,CANCELLED,Cancelled,ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATL,ATLANTA,US,UNITED STATES,33.6408,-84.4272,2025-12-31T12:35:00.000-05:00,2025-12-31T12:35:00.000-05:00,ECP,NW FLORIDA BEACHES INTERNATIONAL AIRPORT,ECP,PANAMA CITY,US,UNITED STATES,30.3578,-85.7989,2025-12-31T12:38:00.000-06:00,2025-12-31T12:38:00.000-06:00,2025-12-31T12:38:00.000-06:00,PT1H3M,0,717,BOEING 717-200,DELTA AIR LINES INC.
1359,2025-12-31,20251231+DL+1359,SCHEDULED,DL,DELTA AIR LINES INC.,ATL->PIT,ATL,PIT,SCHEDULED,Scheduled,ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATL,ATLANTA,US,UNITED STATES,33.6408,-84.4272,2025-12-30T20:20:00.000-05:00,2025-12-30T20:20:00.000-05:00,PIT,PITTSBURGH INTERNATIONAL AIRPORT,PIT,PITTSBURGH,US,UNITED STATES,40.4967,-80.2358,2025-12-30T22:01:00.000-05:00,2025-12-30T22:01:00.000-05:00,2025-12-30T22:01:00.000-05:00,PT1H41M,0,739,BOEING 737-900 PASSENGER,DELTA AIR LINES INC.
1381,2025-12-31,20251231+DL+1381,SCHEDULED,DL,DELTA AIR LINES INC.,ATL->CHS->ATL,ATL,ATL,CANCELLED,Cancelled,GEG,SPOKANE INTERNATIONAL AIRPORT,GEG,SPOKANE,US,UNITED STATES,47.6169,-117.5372,2025-12-30T19:05:00.000-08:00,2025-12-30T19:05:00.000-08:00,SLC,SALT LAKE CITY INTERNATIONAL AIRPORT,SLC,SALT LAKE CITY,US,UNITED STATES,40.7842,-111.9669,2025-12-30T21:51:00.000-07:00,2025-12-30T21:51:00.000-07:00,2025-12-30T21:51:00.000-07:00,PT1H46M,0,223,AIRBUS A220-300 PASSENGER,DELTA AIR LINES INC.
1381,2025-12-31,20251231+DL+1381,SCHEDULED,DL,DELTA AIR LINES INC.,ATL->CHS->ATL,ATL,ATL,CANCELLED,Cancelled,RSW,SOUTHWEST FLORIDA INTERNATIONAL AIRPORT,FMY,FORT MYERS,US,UNITED STATES,26.5333,-81.75,2025-12-31T16:30:00.000-05:00,2025-12-31T16:30:00.000-05:00,MSP,MINNEAPOLIS INTERNATIONAL AIRPORT,MSP,MINNEAPOLIS/ST PAUL,US,UNITED STATES,44.8861,-93.2178,2025-12-31T19:15:00.000-06:00,2025-12-31T19:15:00.000-06:00,2025-12-31T19:15:00.000-06:00,PT3H45M,0,739,BOEING 737-900 PASSENGER,DELTA AIR LINES INC.
