OBJECTID,id,airport_ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,description,frequency_mhz,runway_length_ft,runway_width_ft,runway_surface,runway_lighted,runway_closed,x,y,standard_name,runway_length_m,runway_width_m,runway_capacity,continent_name,hub_priority_score,distance_from_ams_km,strategic_distance
75687,27028,YKSC,medium_airport,Kingscote Airport,-35.7139015197754,137.52099609375,24.0,OC,AU,AU-SA,nan,yes,YKSC,KGC,nan,nan,https://en.wikipedia.org/wiki/Kingscote_Airport,nan,CTAF,126.0,4600.0,98.0,ASP,1.0,0.0,15308767.2586,-4261325.7363,Kingscote,1402.0800000000002,29.8704,small,Oceania,3,15893.813795118269,global
75690,27029,YKUB,small_airport,Kubin Island Airport,-10.22648,142.219619,15.0,OC,AU,AU-QLD,Kubin Island,yes,YKUB,KUG,nan,nan,https://en.wikipedia.org/wiki/Kubin_Island_Airport,nan,CTAF,126.5,3281.0,60.0,PER,0.0,0.0,15831815.5679,-1144499.5358,Kubin Island,1000.0488,18.288,small,Oceania,2,13967.602373488118,global
75712,27032,YLEO,medium_airport,Leonora Airport,-28.8780994415283,121.315002441406,1217.0,OC,AU,AU-WA,Leonora,yes,YLEO,LNO,nan,http://www.leonora.wa.gov.au/services_facilities/airport.html,https://en.wikipedia.org/wiki/Leonora_Airport,nan,CTAF,126.8,6621.0,98.0,ASP,1.0,0.0,13504724.2973,-3360139.9553,Leonora,2018.0808000000002,29.8704,medium,Oceania,4,14270.457721758254,global
75714,27033,YLEV,small_airport,Lake Evella Airport,-12.4989004135132,135.805999755859,256.0,OC,AU,AU-NT,nan,yes,YLEV,LEL,nan,nan,https://en.wikipedia.org/wiki/Lake_Evella_Airport,nan,CTAF,127.15,3494.0,60.0,PER,1.0,0.0,15117854.7395,-1402539.8129,Lake Evella,1064.9712,18.288,small,Oceania,2,13807.563108534241,global
75723,27721,YLHI,small_airport,Lord Howe Island Airport,-31.538204,159.07546,5.0,OC,AU,AU-NSW,Lord Howe Island,yes,YLHI,LDH,nan,nan,https://en.wikipedia.org/wiki/Lord_Howe_Island_Airport,nan,CTAF,126.7,2906.0,,B,0.0,0.0,17708199.2049,-3702844.2101,Lord Howe Island,885.7488000000001,,small,Oceania,2,16897.669226747978,global
75725,27034,YLHR,medium_airport,Lockhart River Airport,-12.7869,143.304993,77.0,OC,AU,AU-QLD,Lockhart River,yes,YLHR,IRG,nan,nan,https://en.wikipedia.org/wiki/Lockhart_River_Airport,nan,CTAF,126.7,4919.0,98.0,ASP,1.0,0.0,15952638.8489,-1435396.4881,Lockhart River,1499.3112,29.8704,small,Oceania,3,14272.654543230881,global
75729,27035,YLIS,medium_airport,Lismore Airport,-28.830689,153.258419,35.0,OC,AU,AU-NSW,Lismore,yes,YLIS,LSY,nan,nan,https://en.wikipedia.org/wiki/Lismore_Airport,nan,CTAF,124.2,5404.0,98.0,ASP,1.0,0.0,17060649.1629,-3354114.1369,Lismore,1647.1392,29.8704,small,Oceania,3,16329.265487683162,global
75752,27037,YLRD,medium_airport,Lightning Ridge Airport,-29.452857,147.977146,540.0,OC,AU,AU-NSW,nan,yes,YLRD,LHG,nan,nan,https://en.wikipedia.org/wiki/Lightning_Ridge_Airport,nan,CTAF,126.7,2405.0,98.0,GVL,1.0,0.0,16472740.5418,-3433411.8194,Lightning Ridge,733.044,29.8704,small,Oceania,3,16071.132544794627,global
75753,27038,YLRE,medium_airport,Longreach Airport,-23.4342002869,144.279998779,627.0,OC,AU,AU-QLD,Longreach,yes,YLRE,LRE,nan,nan,https://en.wikipedia.org/wiki/Longreach_Airport,nan,CTAF,126.7,6352.0,98.0,ASP,1.0,0.0,16061175.9957,-2684612.9584,Longreach,1936.0896,29.8704,small,Oceania,3,15316.606030829887,global
75758,27039,YLST,medium_airport,Leinster Airport,-27.8432998657227,120.703002929688,1631.0,OC,AU,AU-WA,nan,yes,YLST,LER,nan,nan,https://en.wikipedia.org/wiki/Leinster_Airport,nan,CTAF,126.5,5906.0,98.0,ASP,1.0,0.0,13436596.8234,-3229231.8141,Leinster,1800.1488000000002,29.8704,small,Oceania,3,14146.043200367569,global
