iata_code,name,standard_name,type,latitude_deg,longitude_deg,elevation_ft,continent_name,iso_country,iso_region,municipality,runway_length_m,runway_width_m,runway_capacity,hub_priority_score,distance_from_ams_km,strategic_distance
KKJ,Kitakyushu Airport,Kitakyushu,medium_airport,33.845901,131.035004,21.0,Asia,JP,JP-40,Kitakyushu,2499.9696,79.248,medium,4,9099.359017884084,global
UBJ,Yamaguchi Ube Airport,Yamaguchi Ube,medium_airport,33.9300003052,131.279006958,23.0,Asia,JP,JP-35,Ube,2499.36,45.72,medium,4,9102.449930725686,global
SQJ,Sanming Shaxian Airport,Sanming Shaxian,medium_airport,26.4263,117.8336,830.0,Asia,CN,CN-35,Sanming,2599.944,,medium,4,9116.374477441825,global
HYN,Taizhou Luqiao Airport,Taizhou Luqiao,medium_airport,28.562201,121.429001,,Asia,CN,CN-33,Huangyan,2499.9696,,medium,4,9118.186007774317,global
LCX,Longyan Guanzhishan Airport,Longyan Guanzhishan,medium_airport,25.6746997833,116.747001648,1225.0,Asia,CN,CN-35,Longyan,2399.9952000000003,,medium,4,9123.154035425376,global
IWK,Iwakuni Kintaikyo Airport / Marine Corps Air Station Iwakuni,Iwakuni Kintaikyo / Marine Corps Air Station Iwakuni,medium_airport,34.146333,132.247238,7.0,Asia,JP,JP-35,Iwakuni,2438.4,45.72,medium,4,9125.544314818257,global
HIJ,Hiroshima Airport,Hiroshima,medium_airport,34.4361,132.919006,1088.0,Asia,JP,JP-34,Hiroshima,2999.8416,60.96,medium,4,9127.529674104404,global
CEN,Ciudad Obregón International Airport,Ciudad Obregón,medium_airport,27.392599105835,-109.833000183105,243.0,,MX,MX-SON,Ciudad Obregón,2300.0208000000002,45.110400000000006,medium,4,9128.717145073035,global
HSG,Saga Airport,Saga,medium_airport,33.1497001648,130.302001953,6.0,Asia,JP,JP-41,Saga,2000.0976,45.110400000000006,medium,4,9132.378816317852,global
GYM,General José María Yáñez International Airport,General José María Yáñez,medium_airport,27.9689998626709,-110.925003051758,59.0,,MX,MX-SON,Guaymas,2350.0080000000003,45.110400000000006,medium,4,9135.43282686372,global
NGS,Nagasaki Airport,Nagasaki,medium_airport,32.9169006348,129.914001465,15.0,Asia,JP,JP-42,Nagasaki,2999.232,60.96,medium,4,9136.52569151837,global
FUO,Foshan Shadi Airport,Foshan Shadi,medium_airport,23.0833,113.07,6.0,Asia,CN,CN-44,Foshan (Nanhai),2799.8928,54.864000000000004,medium,4,9142.419699477705,global
FKS,Fukushima Airport,Fukushima,medium_airport,37.2274017333984,140.430999755859,1221.0,Asia,JP,JP-07,Sukagawa,2499.9696,60.0456,medium,4,9162.932481938156,global
OIT,Oita Airport,Oita,medium_airport,33.4794006348,131.736999512,19.0,Asia,JP,JP-44,Oita,2999.232,45.72,medium,4,9166.953711229486,global
MYJ,Matsuyama Airport,Matsuyama,medium_airport,33.8272018432617,132.699996948242,25.0,Asia,JP,JP-38,Matsuyama,2499.36,45.72,medium,4,9176.896900757549,global
KMJ,Kumamoto Airport,Kumamoto,medium_airport,32.8372993469238,130.854995727539,642.0,Asia,JP,JP-43,Kumamoto,2999.232,45.72,medium,4,9188.262563445329,global
TAP,Aeropuerto Internacional de Tapachula,Aeropuerto Internacional de Tapachula,medium_airport,14.790371,-92.36883,97.0,,MX,MX-CHP,Tapachula,2000.0976,45.110400000000006,medium,4,9193.455794792106,global
TAK,Takamatsu Airport,Takamatsu,medium_airport,34.2141990662,134.01600647,607.0,Asia,JP,JP-37,Takamatsu,2499.36,60.96,medium,4,9197.674288160233,global
ITM,Osaka International Airport,Osaka,large_airport,34.7854995727539,135.438003540039,50.0,Asia,JP,JP-27,Osaka,1827.8856,45.72,small,4,9203.296770079354,global
IPN,Usiminas Airport,Usiminas,medium_airport,-19.470699,-42.487598,786.0,South America,BR,BR-MG,Ipatinga,2004.0600000000002,45.110400000000006,medium,4,9204.28303233834,global
UKB,Kobe Airport,Kobe,medium_airport,34.6328010559082,135.223999023438,22.0,Asia,JP,JP-28,Kobe,2499.9696,60.96,medium,4,9209.13253811664,global
NKM,Nagoya Airport / JASDF Komaki Air Base,Nagoya / JASDF Komaki Air Base,medium_airport,35.255759,136.924095,52.0,Asia,JP,JP-23,Nagoya,2740.152,45.72,medium,4,9219.52007189214,global
