iata_code,month,monthly_flights
AT_LOWS_DE_EDDH,2024-01,6733348254408741678254408741671153856945844
AT_LOWS_DE_EDDH,2024-02,6532337128358435447128358435441101654185598
AT_LOWS_DE_EDDH,2024-03,6632347543374038037543374038031122054305790
AT_LOWS_DE_EDDL,2024-01,864343104655062540310465506254031487274367436
AT_LOWS_DE_EDDL,2024-02,8442429419477146489419477146481446072307230
AT_LOWS_DE_EDDL,2024-03,1065353117115989572211711598957221810890549054
AT_LOWS_DK_EKCH,2024-01,864343121626467569512162646756951578978967893
AT_LOWS_DK_EKCH,2024-02,1025052141386890724814138689072481861191239488
AT_LOWS_DK_EKCH,2024-03,854243113615112624911361511262491552076717849
AT_LOWS_EG_HEGN,2024-01,221111322618331393322618331393396119811980
AT_LOWS_EG_HEGN,2024-02,1899302314541569302314541569324116211620
AT_LOWS_EG_HEGN,2024-03,241212394218712071394218712071432721602167
AT_LOWS_ES_LEPA,2024-01,422418231187418231187660330330
AT_LOWS_ES_LEPA,2024-03,14771930679125119306791251252212601262
AT_LOWS_IE_EIDW,2024-01,522626787038324038787038324038946947354734
AT_LOWS_IE_EIDW,2024-02,452223718235323650718235323650819040084182
AT_LOWS_IE_EIDW,2024-03,442123669831093589669831093589807638644212
AT_LOWS_NL_EHAM,2024-01,964848136486614703413648661470341779888988900
AT_LOWS_NL_EHAM,2024-02,1085454141357066706914135706670691992799649963
AT_LOWS_NL_EHAM,2024-03,125626316886756693201688675669320233311157111760
AT_LOWS_NL_EHEH,2024-01,482424670834593249670834593249908445404544
AT_LOWS_NL_EHEH,2024-02,502525684935603289684935603289945047254725
AT_LOWS_NL_EHEH,2024-03,512625610531072998610531072998963949144725
AT_LOWS_NL_EHRD,2024-01,7236369364467246929364467246921264863246324
AT_LOWS_NL_EHRD,2024-02,924646107985496530210798549653021634881748174
AT_LOWS_NL_EHRD,2024-03,1085454128786006687212878600668721953297669766
AT_LOWS_SE_ESSA,2024-01,281414340117651636340117651636514825742574
AT_LOWS_SE_ESSA,2024-02,291811370524671238370524671238532232882034
AT_LOWS_SE_ESSA,2024-03,421923557722243353557722243353767434744200
AT_LOWS_TR_LTFM,2024-01,582929683237023130683237023130947647384738
