flight_name,flight_number,airline_code,airline_code_icao,flight_direction,schedule_date,schedule_time,terminal,gate,pier,service_type,destinations,eu,flight_states,estimatedLandingTime,actualLandingTime,aircraft_type,publicEstimatedOffBlockTime,actualOffBlockTime,expectedTimeBoarding,expectedTimeGateClosing
HV5723,5723,HV,TRA,D,2025-05-19,05:35:00,1.0,D82,D,J,HER,S,DEP,,,32S,,2025-05-19T05:40:23.000+02:00,,
KL2595,2595,KL,KLM,D,2025-05-19,05:35:00,1.0,D82,D,J,HER,S,DEP,,,32S,,2025-05-19T05:40:23.000+02:00,,
AF3615,3615,AF,AFR,A,2025-05-19,05:40:00,3.0,,,J,BOS,N,ARR,2025-05-19T05:45:15.000+02:00,2025-05-19T05:45:15.000+02:00,330,,,,
KL6095,6095,KL,KLM,A,2025-05-19,05:40:00,3.0,,,J,BOS,N,ARR,2025-05-19T05:45:15.000+02:00,2025-05-19T05:45:15.000+02:00,330,,,,
VS3914,3914,VS,VIR,A,2025-05-19,05:40:00,3.0,,,J,BOS,N,ARR,2025-05-19T05:45:15.000+02:00,2025-05-19T05:45:15.000+02:00,330,,,,
DL0256,256,DL,DAL,A,2025-05-19,05:40:00,3.0,,,J,BOS,N,ARR,2025-05-19T05:45:15.000+02:00,2025-05-19T05:45:15.000+02:00,330,,,,
HV5131,5131,HV,TRA,D,2025-05-19,05:55:00,1.0,C7,C,J,BCN,S,DEP,,,737,,2025-05-19T05:50:07.000+02:00,,
KL0588,588,KL,KLM,A,2025-05-19,05:55:00,3.0,,,J,LOS,N,"ARR, EXP",2025-05-19T05:39:16.000+02:00,2025-05-19T05:39:16.000+02:00,330,,,,
AF5479,5479,AF,AFR,A,2025-05-19,05:55:00,3.0,,,J,LOS,N,"ARR, EXP",2025-05-19T05:39:16.000+02:00,2025-05-19T05:39:16.000+02:00,330,,,,
DL9507,9507,DL,DAL,A,2025-05-19,05:55:00,3.0,,,J,LOS,N,"ARR, EXP",2025-05-19T05:39:16.000+02:00,2025-05-19T05:39:16.000+02:00,330,,,,
HV6463,6463,HV,TRA,D,2025-05-19,06:00:00,1.0,D81,D,J,JMK,S,DEP,,,737,,2025-05-19T05:56:19.000+02:00,,
AF3652,3652,AF,AFR,A,2025-05-19,06:00:00,3.0,,,J,ATL,N,"ARR, EXP",2025-05-19T05:29:35.000+02:00,2025-05-19T05:29:35.000+02:00,330,,,,
KL6071,6071,KL,KLM,A,2025-05-19,06:00:00,3.0,,,J,ATL,N,"ARR, EXP",2025-05-19T05:29:35.000+02:00,2025-05-19T05:29:35.000+02:00,330,,,,
VS4054,4054,VS,VIR,A,2025-05-19,06:00:00,3.0,,,J,ATL,N,"ARR, EXP",2025-05-19T05:29:35.000+02:00,2025-05-19T05:29:35.000+02:00,330,,,,
DL0070,70,DL,DAL,A,2025-05-19,06:00:00,3.0,,,J,ATL,N,"ARR, EXP",2025-05-19T05:29:35.000+02:00,2025-05-19T05:29:35.000+02:00,330,,,,
KL0692,692,KL,KLM,A,2025-05-19,06:00:00,2.0,,,J,YYZ,N,"ARR, EXP",2025-05-19T05:49:21.000+02:00,2025-05-19T05:49:21.000+02:00,330,,,,
AF8266,8266,AF,AFR,A,2025-05-19,06:00:00,2.0,,,J,YYZ,N,"ARR, EXP",2025-05-19T05:49:21.000+02:00,2025-05-19T05:49:21.000+02:00,330,,,,
DL9699,9699,DL,DAL,A,2025-05-19,06:00:00,2.0,,,J,YYZ,N,"ARR, EXP",2025-05-19T05:49:21.000+02:00,2025-05-19T05:49:21.000+02:00,330,,,,
VS7164,7164,VS,VIR,A,2025-05-19,06:00:00,2.0,,,J,YYZ,N,"ARR, EXP",2025-05-19T05:49:21.000+02:00,2025-05-19T05:49:21.000+02:00,330,,,,
DL0132,132,DL,DAL,A,2025-05-19,06:00:00,3.0,,,J,DTW,N,ARR,2025-05-19T05:58:21.000+02:00,2025-05-19T05:58:21.000+02:00,350,,,,
AF5606,5606,AF,AFR,A,2025-05-19,06:00:00,3.0,,,J,DTW,N,ARR,2025-05-19T05:58:21.000+02:00,2025-05-19T05:58:21.000+02:00,350,,,,
KL6018,6018,KL,KLM,A,2025-05-19,06:00:00,3.0,,,J,DTW,N,ARR,2025-05-19T05:58:21.000+02:00,2025-05-19T05:58:21.000+02:00,350,,,,
VS3929,3929,VS,VIR,A,2025-05-19,06:00:00,3.0,,,J,DTW,N,ARR,2025-05-19T05:58:21.000+02:00,2025-05-19T05:58:21.000+02:00,350,,,,
KL0656,656,KL,KLM,A,2025-05-19,06:00:00,3.0,,,J,MSP,N,"ARR, EXP",2025-05-19T07:40:28.000+02:00,2025-05-19T07:40:28.000+02:00,777,,,,
AF8469,8469,AF,AFR,A,2025-05-19,06:00:00,3.0,,,J,MSP,N,"ARR, EXP",2025-05-19T07:40:28.000+02:00,2025-05-19T07:40:28.000+02:00,777,,,,
DL9471,9471,DL,DAL,A,2025-05-19,06:00:00,3.0,,,J,MSP,N,"ARR, EXP",2025-05-19T07:40:28.000+02:00,2025-05-19T07:40:28.000+02:00,777,,,,
VS7140,7140,VS,VIR,A,2025-05-19,06:00:00,3.0,,,J,MSP,N,"ARR, EXP",2025-05-19T07:40:28.000+02:00,2025-05-19T07:40:28.000+02:00,777,,,,
HV5623,5623,HV,TRA,D,2025-05-19,06:05:00,1.0,D86,D,J,PMI,S,DEP,,,737,,2025-05-19T06:12:42.000+02:00,,
KL2675,2675,KL,KLM,D,2025-05-19,06:05:00,1.0,D86,D,J,PMI,S,DEP,,,737,,2025-05-19T06:12:42.000+02:00,,
HV5673,5673,HV,TRA,D,2025-05-19,06:10:00,1.0,D83,D,J,IBZ,S,DEP,,,737,,2025-05-19T06:09:16.000+02:00,,
KL2681,2681,KL,KLM,D,2025-05-19,06:10:00,1.0,D83,D,J,IBZ,S,DEP,,,737,,2025-05-19T06:09:16.000+02:00,,
HV1861,1861,HV,TRA,D,2025-05-19,06:10:00,1.0,D87,D,C,"JSI, MJT",S,DEP,,,737,,2025-05-19T06:10:46.000+02:00,,
HV081,81,HV,TRA,D,2025-05-19,06:15:00,,,,P,RTM,S,DEP,,,737,,2025-05-19T06:01:01.000+02:00,,
MP6162,6162,MP,MPH,A,2025-05-19,06:15:00,,,,F,"BOG, MIA",N,"LND, EXP",2025-05-19T06:44:14.000+02:00,2025-05-19T06:44:14.000+02:00,74F,,,,
HV6629,6629,HV,TRA,D,2025-05-19,06:20:00,1.0,C9,C,J,FNC,S,DEP,,,737,,2025-05-19T06:10:17.000+02:00,,
KL2697,2697,KL,KLM,D,2025-05-19,06:20:00,1.0,C9,C,J,FNC,S,DEP,,,737,,2025-05-19T06:10:17.000+02:00,,
HV6673,6673,HV,TRA,D,2025-05-19,06:20:00,1.0,D85,D,J,TFS,S,DEP,,,32S,,2025-05-19T06:25:10.000+02:00,,
KL2599,2599,KL,KLM,D,2025-05-19,06:20:00,1.0,D85,D,J,TFS,S,DEP,,,32S,,2025-05-19T06:25:10.000+02:00,,
OR1635,1635,OR,TFL,D,2025-05-19,06:20:00,3.0,D60,D,J,LPA,S,DEP,,,737,,2025-05-19T06:26:17.000+02:00,,
KL0714,714,KL,KLM,A,2025-05-19,06:20:00,4.0,,,J,PBM,N,"ARR, EXP",2025-05-19T06:03:18.000+02:00,2025-05-19T06:03:18.000+02:00,777,,,,
HV6917,6917,HV,TRA,D,2025-05-19,06:25:00,1.0,D59,D,J,OLB,S,DEP,,,32S,,2025-05-19T06:39:38.000+02:00,,
KL2615,2615,KL,KLM,D,2025-05-19,06:25:00,1.0,D59,D,J,OLB,S,DEP,,,32S,,2025-05-19T06:39:38.000+02:00,,
HV6727,6727,HV,TRA,D,2025-05-19,06:30:00,1.0,D77,D,J,SVQ,S,DEP,,,32S,,2025-05-19T07:07:28.000+02:00,,
KL2685,2685,KL,KLM,D,2025-05-19,06:30:00,1.0,D77,D,J,SVQ,S,DEP,,,32S,,2025-05-19T07:07:28.000+02:00,,
DL9500,9500,DL,DAL,A,2025-05-19,06:30:00,2.0,,,J,DXB,N,ARR,2025-05-19T06:24:17.000+02:00,2025-05-19T06:24:17.000+02:00,777,,,,
SK6859,6859,SK,SAS,A,2025-05-19,06:30:00,2.0,,,J,DXB,N,ARR,2025-05-19T06:24:17.000+02:00,2025-05-19T06:24:17.000+02:00,777,,,,
KL0428,428,KL,KLM,A,2025-05-19,06:30:00,2.0,,,J,DXB,N,ARR,2025-05-19T06:24:17.000+02:00,2025-05-19T06:24:17.000+02:00,777,,,,
AF8422,8422,AF,AFR,A,2025-05-19,06:30:00,2.0,,,J,DXB,N,ARR,2025-05-19T06:24:17.000+02:00,2025-05-19T06:24:17.000+02:00,777,,,,
KL0888,888,KL,KLM,A,2025-05-19,06:30:00,2.0,,,J,HKG,N,ARR,2025-05-19T06:21:45.000+02:00,2025-05-19T06:21:45.000+02:00,787,,,,
AF8404,8404,AF,AFR,A,2025-05-19,06:30:00,2.0,,,J,HKG,N,ARR,2025-05-19T06:21:45.000+02:00,2025-05-19T06:21:45.000+02:00,787,,,,
QF4217,4217,QF,QFA,A,2025-05-19,06:30:00,2.0,,,J,HKG,N,ARR,2025-05-19T06:21:45.000+02:00,2025-05-19T06:21:45.000+02:00,787,,,,
HV5465,5465,HV,TRA,D,2025-05-19,06:35:00,1.0,D78,D,J,VRN,S,DEP,,,737,,2025-05-19T06:25:49.000+02:00,,
KL2749,2749,KL,KLM,D,2025-05-19,06:35:00,1.0,D78,D,J,VRN,S,DEP,,,737,,2025-05-19T06:25:49.000+02:00,,
KL1497,1497,KL,KLM,D,2025-05-19,06:35:00,1.0,B16,B,J,BCN,S,DEP,,,EMJ,,2025-05-19T06:35:11.000+02:00,2025-05-19T06:10:00.000+02:00,2025-05-19T06:20:00.000+02:00
DL9299,9299,DL,DAL,D,2025-05-19,06:35:00,1.0,B16,B,J,BCN,S,DEP,,,EMJ,,2025-05-19T06:35:11.000+02:00,2025-05-19T06:10:00.000+02:00,2025-05-19T06:20:00.000+02:00
CZ0307,307,CZ,CSN,A,2025-05-19,06:35:00,3.0,,,J,CAN,N,"ARR, EXP",2025-05-19T06:06:50.000+02:00,2025-05-19T06:06:50.000+02:00,350,,,,
KL0810,810,KL,KLM,A,2025-05-19,06:35:00,3.0,,,J,"CGK, KUL",N,ARR,2025-05-19T06:26:48.000+02:00,2025-05-19T06:26:48.000+02:00,787,,,,
AF8398,8398,AF,AFR,A,2025-05-19,06:35:00,3.0,,,J,"CGK, KUL",N,ARR,2025-05-19T06:26:48.000+02:00,2025-05-19T06:26:48.000+02:00,787,,,,
MH5632,5632,MH,MAS,A,2025-05-19,06:35:00,3.0,,,J,"CGK, KUL",N,ARR,2025-05-19T06:26:48.000+02:00,2025-05-19T06:26:48.000+02:00,787,,,,
DL9373,9373,DL,DAL,A,2025-05-19,06:40:00,3.0,,,J,ACC,N,ARR,2025-05-19T06:36:23.000+02:00,2025-05-19T06:36:23.000+02:00,777,,,,
KL0590,590,KL,KLM,A,2025-05-19,06:40:00,3.0,,,J,ACC,N,ARR,2025-05-19T06:36:23.000+02:00,2025-05-19T06:36:23.000+02:00,777,,,,
AF8248,8248,AF,AFR,A,2025-05-19,06:40:00,3.0,,,J,ACC,N,ARR,2025-05-19T06:36:23.000+02:00,2025-05-19T06:36:23.000+02:00,777,,,,
KL1731,1731,KL,KLM,D,2025-05-19,06:45:00,1.0,B6,B,J,LUX,S,DEP,,,EMJ,,2025-05-19T06:44:13.000+02:00,2025-05-19T06:20:00.000+02:00,2025-05-19T06:30:00.000+02:00
DL9479,9479,DL,DAL,D,2025-05-19,06:45:00,1.0,B6,B,J,LUX,S,DEP,,,EMJ,,2025-05-19T06:44:13.000+02:00,2025-05-19T06:20:00.000+02:00,2025-05-19T06:30:00.000+02:00
HV6115,6115,HV,TRA,D,2025-05-19,06:45:00,1.0,C14,C,J,AGP,S,DEP,,,32S,,2025-05-19T06:50:19.000+02:00,,
KL2649,2649,KL,KLM,D,2025-05-19,06:45:00,1.0,C14,C,J,AGP,S,DEP,,,32S,,2025-05-19T06:50:19.000+02:00,,
