flight_number,flight_date,flight_id,airline_code,airline_name,status,origin,destination,leg_status,departure_airport_code,departure_airport_name,departure_city,departure_country,departure_latitude,departure_longitude,scheduled_departure_time,latest_departure_time,arrival_airport_code,arrival_airport_name,arrival_city,arrival_country,arrival_latitude,arrival_longitude,scheduled_arrival_time,latest_arrival_time,estimated_arrival_time,aircraft_type,aircraft_code,scheduled_duration
913,2025-05-18,20250518+DL+0913,DL,DELTA AIR LINES INC.,ON_TIME,DTW,PDX,CANCELLED,PDX,PORTLAND INTERNATIONAL AIRPORT,PORTLAND,UNITED STATES,45.5892,-122.595,2025-05-18T22:55:00.000-07:00,2025-05-18T22:55:00.000-07:00,DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DETROIT,UNITED STATES,42.2186,-83.3486,2025-05-19T06:11:00.000-04:00,2025-05-19T06:11:00.000-04:00,2025-05-19T06:11:00.000-04:00,BOEING 737-900 PASSENGER,739,PT4H16M
913,2025-05-18,20250518+DL+0913,DL,DELTA AIR LINES INC.,ON_TIME,DTW,PDX,ARRIVED,DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DETROIT,UNITED STATES,42.2186,-83.3486,2025-05-17T20:40:00.000-04:00,2025-05-17T20:46:00.000-04:00,PDX,PORTLAND INTERNATIONAL AIRPORT,PORTLAND,UNITED STATES,45.5892,-122.595,2025-05-17T22:15:00.000-07:00,2025-05-17T22:31:00.000-07:00,2025-05-17T22:31:00.000-07:00,BOEING 737-900 PASSENGER,739,PT4H35M
5027,2025-05-18,20250518+DL+5027,DL,DELTA AIR LINES INC.,ON_TIME,YYZ,DTW,CANCELLED,BUF,BUFFALO NIAGARA INTERNATIONAL AIRPORT,BUFFALO,UNITED STATES,42.9411,-78.7364,2025-05-18T20:20:00.000-04:00,2025-05-18T20:20:00.000-04:00,JFK,JOHN F. KENNEDY INTERNATIONAL AIRPORT,NEW YORK,UNITED STATES,40.6386,-73.7769,2025-05-18T22:04:00.000-04:00,2025-05-18T22:04:00.000-04:00,2025-05-18T22:04:00.000-04:00,CANADAIR REGIONAL JET 900 AND CHALLENGER 890,CR9,PT1H44M
5027,2025-05-18,20250518+DL+5027,DL,DELTA AIR LINES INC.,ON_TIME,YYZ,DTW,CANCELLED,JFK,JOHN F. KENNEDY INTERNATIONAL AIRPORT,NEW YORK,UNITED STATES,40.6386,-73.7769,2025-05-18T18:00:00.000-04:00,2025-05-18T18:00:00.000-04:00,BUF,BUFFALO NIAGARA INTERNATIONAL AIRPORT,BUFFALO,UNITED STATES,42.9411,-78.7364,2025-05-18T19:46:00.000-04:00,2025-05-18T19:46:00.000-04:00,2025-05-18T19:46:00.000-04:00,CANADAIR REGIONAL JET 900 AND CHALLENGER 890,CR9,PT1H46M
5027,2025-05-18,20250518+DL+5027,DL,DELTA AIR LINES INC.,ON_TIME,YYZ,DTW,CANCELLED,MSP,MINNEAPOLIS INTERNATIONAL AIRPORT,MINNEAPOLIS/ST PAUL,UNITED STATES,44.8861,-93.2178,2025-05-17T19:45:00.000-05:00,2025-05-17T19:45:00.000-05:00,CHS,CHARLESTON INTERNATIONAL AIRFORCE BASE,CHARLESTON,UNITED STATES,32.8992,-80.0389,2025-05-17T23:32:00.000-04:00,2025-05-17T23:32:00.000-04:00,2025-05-17T23:32:00.000-04:00,CANADAIR REGIONAL JET 900 AND CHALLENGER 890,CR9,PT2H47M
5027,2025-05-18,20250518+DL+5027,DL,DELTA AIR LINES INC.,ON_TIME,YYZ,DTW,ARRIVED,YYZ,LESTER B.PEARSON INTERNATIONAL AIRPORT,TORONTO,CANADA,43.6833,-79.6333,2025-05-18T12:20:00.000-04:00,2025-05-18T12:20:00.000-04:00,DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DETROIT,UNITED STATES,42.2186,-83.3486,2025-05-18T13:40:00.000-04:00,2025-05-18T13:40:00.000-04:00,2025-05-18T13:40:00.000-04:00,CANADAIR REGIONAL JET 900 AND CHALLENGER 890,CR9,PT1H20M
1567,2025-05-18,20250518+DL+1567,DL,DELTA AIR LINES INC.,ON_TIME,MSP,MSP,CANCELLED,DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DETROIT,UNITED STATES,42.2186,-83.3486,2025-05-18T18:05:00.000-04:00,2025-05-18T18:05:00.000-04:00,ORD,O HARE INTERNATIONAL AIRPORT,CHICAGO,UNITED STATES,41.9781,-87.9061,2025-05-18T18:30:00.000-05:00,2025-05-18T18:30:00.000-05:00,2025-05-18T18:30:00.000-05:00,BOEING 717-200,717,PT1H25M
1567,2025-05-18,20250518+DL+1567,DL,DELTA AIR LINES INC.,ON_TIME,MSP,MSP,CANCELLED,ORD,O HARE INTERNATIONAL AIRPORT,CHICAGO,UNITED STATES,41.9781,-87.9061,2025-05-18T19:30:00.000-05:00,2025-05-18T19:30:00.000-05:00,DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DETROIT,UNITED STATES,42.2186,-83.3486,2025-05-18T21:57:00.000-04:00,2025-05-18T21:57:00.000-04:00,2025-05-18T21:57:00.000-04:00,BOEING 717-200,717,PT1H27M
1567,2025-05-18,20250518+DL+1567,DL,DELTA AIR LINES INC.,ON_TIME,MSP,MSP,CANCELLED,MIA,MIAMI INTERNATIONAL AIRPORT,MIAMI,UNITED STATES,25.7925,-80.2861,2025-05-18T07:30:00.000-04:00,2025-05-18T07:30:00.000-04:00,JFK,JOHN F. KENNEDY INTERNATIONAL AIRPORT,NEW YORK,UNITED STATES,40.6386,-73.7769,2025-05-18T10:40:00.000-04:00,2025-05-18T10:40:00.000-04:00,2025-05-18T10:40:00.000-04:00,AIRBUS A321,321,PT3H10M
1567,2025-05-18,20250518+DL+1567,DL,DELTA AIR LINES INC.,ON_TIME,MSP,MSP,CANCELLED,MSP,MINNEAPOLIS INTERNATIONAL AIRPORT,MINNEAPOLIS/ST PAUL,UNITED STATES,44.8861,-93.2178,2025-05-17T19:55:00.000-05:00,2025-05-17T19:55:00.000-05:00,BUF,BUFFALO NIAGARA INTERNATIONAL AIRPORT,BUFFALO,UNITED STATES,42.9411,-78.7364,2025-05-17T23:09:00.000-04:00,2025-05-17T23:09:00.000-04:00,2025-05-17T23:09:00.000-04:00,AIRBUS A319,319,PT2H14M
