flight_number,flight_date,flight_id,airline_code,airline_name,status,origin,destination,leg_status,departure_airport_code,departure_airport_name,departure_city,departure_country,departure_latitude,departure_longitude,scheduled_departure_time,latest_departure_time,arrival_airport_code,arrival_airport_name,arrival_city,arrival_country,arrival_latitude,arrival_longitude,scheduled_arrival_time,latest_arrival_time,estimated_arrival_time,aircraft_type,aircraft_code,scheduled_duration
1032,2025-05-18,20250518+DL+1032,DL,DELTA AIR LINES INC.,ON_TIME,MSP,ATL,CANCELLED,PBI,PALM BEACH INTERNATIONAL AIRPORT,WEST PALM BEACH,UNITED STATES,26.6822,-80.0942,2025-05-18T19:50:00.000-04:00,2025-05-18T19:50:00.000-04:00,ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATLANTA,UNITED STATES,33.6408,-84.4272,2025-05-18T21:46:00.000-04:00,2025-05-18T21:46:00.000-04:00,2025-05-18T21:46:00.000-04:00,AIRBUS A321,321,PT1H56M
1032,2025-05-18,20250518+DL+1032,DL,DELTA AIR LINES INC.,ON_TIME,MSP,ATL,ARRIVED,MSP,MINNEAPOLIS INTERNATIONAL AIRPORT,MINNEAPOLIS/ST PAUL,UNITED STATES,44.8861,-93.2178,2025-05-17T20:25:00.000-05:00,2025-05-17T20:43:00.000-05:00,ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATLANTA,UNITED STATES,33.6408,-84.4272,2025-05-17T23:57:00.000-04:00,2025-05-17T23:57:00.000-04:00,2025-05-17T23:57:00.000-04:00,BOEING 757 PASSENGER,757,PT2H32M
2473,2025-05-18,20250518+DL+2473,DL,DELTA AIR LINES INC.,ON_TIME,LGA,MSP,CANCELLED,HOU,HOBBY AIRPORT,HOUSTON,UNITED STATES,29.645,-95.2786,2025-05-18T19:18:00.000-05:00,2025-05-18T19:18:00.000-05:00,ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATLANTA,UNITED STATES,33.6408,-84.4272,2025-05-18T22:26:00.000-04:00,2025-05-18T22:26:00.000-04:00,2025-05-18T22:26:00.000-04:00,BOEING 717-200,717,PT2H8M
2473,2025-05-18,20250518+DL+2473,DL,DELTA AIR LINES INC.,ON_TIME,LGA,MSP,CANCELLED,ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATLANTA,UNITED STATES,33.6408,-84.4272,2025-05-18T17:16:00.000-04:00,2025-05-18T17:16:00.000-04:00,HOU,HOBBY AIRPORT,HOUSTON,UNITED STATES,29.645,-95.2786,2025-05-18T18:20:00.000-05:00,2025-05-18T18:20:00.000-05:00,2025-05-18T18:20:00.000-05:00,BOEING 717-200,717,PT2H4M
2473,2025-05-18,20250518+DL+2473,DL,DELTA AIR LINES INC.,ON_TIME,LGA,MSP,CANCELLED,DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DETROIT,UNITED STATES,42.2186,-83.3486,2025-05-17T21:25:00.000-04:00,2025-05-17T21:25:00.000-04:00,GRR,GERALD R. FORD INTERNATIONAL AIRPORT,GRAND RAPIDS,UNITED STATES,42.8811,-85.5242,2025-05-17T22:12:00.000-04:00,2025-05-17T22:12:00.000-04:00,2025-05-17T22:12:00.000-04:00,BOEING 717-200,717,PT47M
2473,2025-05-18,20250518+DL+2473,DL,DELTA AIR LINES INC.,ON_TIME,LGA,MSP,ARRIVED,LGA,LA GUARDIA AIRPORT,NEW YORK,UNITED STATES,40.7794,-73.8758,2025-05-18T08:00:00.000-04:00,2025-05-18T08:00:00.000-04:00,MSP,MINNEAPOLIS INTERNATIONAL AIRPORT,MINNEAPOLIS/ST PAUL,UNITED STATES,44.8861,-93.2178,2025-05-18T10:09:00.000-05:00,2025-05-18T10:09:00.000-05:00,2025-05-18T10:09:00.000-05:00,AIRBUS A320,320,PT3H9M
3792,2025-05-18,20250518+DL+3792,DL,DELTA AIR LINES INC.,ON_TIME,MSP,MDW,CANCELLED,YVR,VANCOUVER INTERNATIONAL AIRPORT,VANCOUVER,CANADA,49.1872,-123.1853,2025-05-18T09:20:00.000-07:00,2025-05-18T09:20:00.000-07:00,SEA,SEATTLE-TACOMA INTERNATIONAL AIRPORT,SEATTLE,UNITED STATES,47.4472,-122.3056,2025-05-18T10:39:00.000-07:00,2025-05-18T10:39:00.000-07:00,2025-05-18T10:39:00.000-07:00,EMBRAER 175 (ENHANCED WINGLETS),E7W,PT1H19M
3792,2025-05-18,20250518+DL+3792,DL,DELTA AIR LINES INC.,ON_TIME,MSP,MDW,CANCELLED,SLC,SALT LAKE CITY INTERNATIONAL AIRPORT,SALT LAKE CITY,UNITED STATES,40.7842,-111.9669,2025-05-18T16:18:00.000-06:00,2025-05-18T16:18:00.000-06:00,TUS,TUCSON INTERNATIONAL AIRPORT,TUCSON,UNITED STATES,32.125,-110.9492,2025-05-18T18:16:00.000-07:00,2025-05-18T18:16:00.000-07:00,2025-05-18T18:16:00.000-07:00,EMBRAER 175 (ENHANCED WINGLETS),E7W,PT2H58M
3792,2025-05-18,20250518+DL+3792,DL,DELTA AIR LINES INC.,ON_TIME,MSP,MDW,CANCELLED,SEA,SEATTLE-TACOMA INTERNATIONAL AIRPORT,SEATTLE,UNITED STATES,47.4472,-122.3056,2025-05-18T15:50:00.000-07:00,2025-05-18T15:50:00.000-07:00,GEG,SPOKANE INTERNATIONAL AIRPORT,SPOKANE,UNITED STATES,47.6169,-117.5372,2025-05-18T17:02:00.000-07:00,2025-05-18T17:02:00.000-07:00,2025-05-18T17:02:00.000-07:00,EMBRAER 175 (ENHANCED WINGLETS),E7W,PT1H12M
3792,2025-05-18,20250518+DL+3792,DL,DELTA AIR LINES INC.,ON_TIME,MSP,MDW,CANCELLED,TUS,TUCSON INTERNATIONAL AIRPORT,TUCSON,UNITED STATES,32.125,-110.9492,2025-05-18T12:00:00.000-07:00,2025-05-18T12:00:00.000-07:00,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,33.9422,-118.4072,2025-05-18T13:45:00.000-07:00,2025-05-18T13:45:00.000-07:00,2025-05-18T13:45:00.000-07:00,EMBRAER 175 (ENHANCED WINGLETS),E7W,PT1H45M
3792,2025-05-18,20250518+DL+3792,DL,DELTA AIR LINES INC.,ON_TIME,MSP,MDW,CANCELLED,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,33.9422,-118.4072,2025-05-18T09:20:00.000-07:00,2025-05-18T09:20:00.000-07:00,TUS,TUCSON INTERNATIONAL AIRPORT,TUCSON,UNITED STATES,32.125,-110.9492,2025-05-18T11:01:00.000-07:00,2025-05-18T11:01:00.000-07:00,2025-05-18T11:01:00.000-07:00,EMBRAER 175 (ENHANCED WINGLETS),E7W,PT1H41M
3792,2025-05-18,20250518+DL+3792,DL,DELTA AIR LINES INC.,ON_TIME,MSP,MDW,CANCELLED,GEG,SPOKANE INTERNATIONAL AIRPORT,SPOKANE,UNITED STATES,47.6169,-117.5372,2025-05-18T17:30:00.000-07:00,2025-05-18T17:30:00.000-07:00,SEA,SEATTLE-TACOMA INTERNATIONAL AIRPORT,SEATTLE,UNITED STATES,47.4472,-122.3056,2025-05-18T18:49:00.000-07:00,2025-05-18T18:49:00.000-07:00,2025-05-18T18:49:00.000-07:00,EMBRAER 175 (ENHANCED WINGLETS),E7W,PT1H19M
3792,2025-05-18,20250518+DL+3792,DL,DELTA AIR LINES INC.,ON_TIME,MSP,MDW,ARRIVED,MSP,MINNEAPOLIS INTERNATIONAL AIRPORT,MINNEAPOLIS/ST PAUL,UNITED STATES,44.8861,-93.2178,2025-05-17T20:35:00.000-05:00,2025-05-17T20:35:00.000-05:00,MDW,MIDWAY INTERNATIONAL AIRPORT,CHICAGO,UNITED STATES,41.785,-87.7519,2025-05-17T22:25:00.000-05:00,2025-05-17T22:25:00.000-05:00,2025-05-17T22:25:00.000-05:00,EMBRAER 175 (ENHANCED WINGLETS),E7W,PT1H50M
2130,2025-05-18,20250518+DL+2130,DL,DELTA AIR LINES INC.,ON_TIME,LAX,BOS,CANCELLED,ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATLANTA,UNITED STATES,33.6408,-84.4272,2025-05-18T08:30:00.000-04:00,2025-05-18T08:30:00.000-04:00,PNS,PENSACOLA INTERNATIONAL AIRPORT,PENSACOLA,UNITED STATES,30.4725,-87.1883,2025-05-18T08:46:00.000-05:00,2025-05-18T08:46:00.000-05:00,2025-05-18T08:46:00.000-05:00,BOEING 737-900 PASSENGER,739,PT1H16M
2130,2025-05-18,20250518+DL+2130,DL,DELTA AIR LINES INC.,ON_TIME,LAX,BOS,CANCELLED,ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATLANTA,UNITED STATES,33.6408,-84.4272,2025-05-17T22:37:00.000-04:00,2025-05-17T22:37:00.000-04:00,DAB,DAYTONA BEACH INTERNATIONAL AIRPORT,DAYTONA BEACH,UNITED STATES,29.1825,-81.0528,2025-05-18T00:04:00.000-04:00,2025-05-18T00:04:00.000-04:00,2025-05-18T00:04:00.000-04:00,BOEING 737-900 PASSENGER,739,PT1H27M
2130,2025-05-18,20250518+DL+2130,DL,DELTA AIR LINES INC.,ON_TIME,LAX,BOS,CANCELLED,PNS,PENSACOLA INTERNATIONAL AIRPORT,PENSACOLA,UNITED STATES,30.4725,-87.1883,2025-05-18T09:45:00.000-05:00,2025-05-18T09:45:00.000-05:00,ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATLANTA,UNITED STATES,33.6408,-84.4272,2025-05-18T11:56:00.000-04:00,2025-05-18T11:56:00.000-04:00,2025-05-18T11:56:00.000-04:00,BOEING 737-900 PASSENGER,739,PT1H11M
2130,2025-05-18,20250518+DL+2130,DL,DELTA AIR LINES INC.,ON_TIME,LAX,BOS,CANCELLED,ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATLANTA,UNITED STATES,33.6408,-84.4272,2025-05-18T14:59:00.000-04:00,2025-05-18T14:59:00.000-04:00,VPS,FT. WALTON BEACH AIRPORT,DESTIN/FT WALTON BEACH,UNITED STATES,30.4894,-86.5272,2025-05-18T15:11:00.000-05:00,2025-05-18T15:11:00.000-05:00,2025-05-18T15:11:00.000-05:00,BOEING 737-900 PASSENGER,739,PT1H12M
2130,2025-05-18,20250518+DL+2130,DL,DELTA AIR LINES INC.,ON_TIME,LAX,BOS,CANCELLED,VPS,FT. WALTON BEACH AIRPORT,DESTIN/FT WALTON BEACH,UNITED STATES,30.4894,-86.5272,2025-05-18T16:20:00.000-05:00,2025-05-18T16:20:00.000-05:00,ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATLANTA,UNITED STATES,33.6408,-84.4272,2025-05-18T18:41:00.000-04:00,2025-05-18T18:41:00.000-04:00,2025-05-18T18:41:00.000-04:00,BOEING 737-900 PASSENGER,739,PT1H21M
2130,2025-05-18,20250518+DL+2130,DL,DELTA AIR LINES INC.,ON_TIME,LAX,BOS,CANCELLED,MIA,MIAMI INTERNATIONAL AIRPORT,MIAMI,UNITED STATES,25.7925,-80.2861,2025-05-18T18:40:00.000-04:00,2025-05-18T18:40:00.000-04:00,MSP,MINNEAPOLIS INTERNATIONAL AIRPORT,MINNEAPOLIS/ST PAUL,UNITED STATES,44.8861,-93.2178,2025-05-18T21:32:00.000-05:00,2025-05-18T21:32:00.000-05:00,2025-05-18T21:32:00.000-05:00,AIRBUS A320,320,PT3H52M
2130,2025-05-18,20250518+DL+2130,DL,DELTA AIR LINES INC.,ON_TIME,LAX,BOS,CANCELLED,SEA,SEATTLE-TACOMA INTERNATIONAL AIRPORT,SEATTLE,UNITED STATES,47.4472,-122.3056,2025-05-18T15:15:00.000-07:00,2025-05-18T15:15:00.000-07:00,ONT,ONTARIO INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,34.0572,-117.6081,2025-05-18T17:48:00.000-07:00,2025-05-18T17:48:00.000-07:00,2025-05-18T17:48:00.000-07:00,AIRBUS A220-100 PASSENGER,221,PT2H33M
2130,2025-05-18,20250518+DL+2130,DL,DELTA AIR LINES INC.,ON_TIME,LAX,BOS,CANCELLED,ONT,ONTARIO INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,34.0572,-117.6081,2025-05-18T18:59:00.000-07:00,2025-05-18T18:59:00.000-07:00,SEA,SEATTLE-TACOMA INTERNATIONAL AIRPORT,SEATTLE,UNITED STATES,47.4472,-122.3056,2025-05-18T21:56:00.000-07:00,2025-05-18T21:56:00.000-07:00,2025-05-18T21:56:00.000-07:00,AIRBUS A220-100 PASSENGER,221,PT2H57M
2130,2025-05-18,20250518+DL+2130,DL,DELTA AIR LINES INC.,ON_TIME,LAX,BOS,CANCELLED,MSP,MINNEAPOLIS INTERNATIONAL AIRPORT,MINNEAPOLIS/ST PAUL,UNITED STATES,44.8861,-93.2178,2025-05-18T12:55:00.000-05:00,2025-05-18T12:55:00.000-05:00,MIA,MIAMI INTERNATIONAL AIRPORT,MIAMI,UNITED STATES,25.7925,-80.2861,2025-05-18T17:35:00.000-04:00,2025-05-18T17:35:00.000-04:00,2025-05-18T17:35:00.000-04:00,AIRBUS A320,320,PT3H40M
2130,2025-05-18,20250518+DL+2130,DL,DELTA AIR LINES INC.,ON_TIME,LAX,BOS,ARRIVED,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,33.9422,-118.4072,2025-05-18T10:25:00.000-07:00,2025-05-18T10:25:00.000-07:00,BOS,EDWARD L. LOGAN INTERNATIONAL AIRPORT,BOSTON,UNITED STATES,42.365,-71.0053,2025-05-18T19:12:00.000-04:00,2025-05-18T19:12:00.000-04:00,2025-05-18T19:12:00.000-04:00,BOEING 757-200 WINGLETS PASSENGER,75W,PT5H47M
1085,2025-05-18,20250518+DL+1085,DL,DELTA AIR LINES INC.,ON_TIME,SLC,SLC,CANCELLED,DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DETROIT,UNITED STATES,42.2186,-83.3486,2025-05-18T07:30:00.000-04:00,2025-05-18T07:30:00.000-04:00,DCA,RONALD REAGAN NATIONAL AIRPORT,WASHINGTON,UNITED STATES,38.8517,-77.0369,2025-05-18T09:23:00.000-04:00,2025-05-18T09:23:00.000-04:00,2025-05-18T09:23:00.000-04:00,AIRBUS A320,320,PT1H53M
1085,2025-05-18,20250518+DL+1085,DL,DELTA AIR LINES INC.,ON_TIME,SLC,SLC,CANCELLED,DCA,RONALD REAGAN NATIONAL AIRPORT,WASHINGTON,UNITED STATES,38.8517,-77.0369,2025-05-18T10:01:00.000-04:00,2025-05-18T10:01:00.000-04:00,DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DETROIT,UNITED STATES,42.2186,-83.3486,2025-05-18T11:36:00.000-04:00,2025-05-18T11:36:00.000-04:00,2025-05-18T11:36:00.000-04:00,AIRBUS A320,320,PT1H35M
1085,2025-05-18,20250518+DL+1085,DL,DELTA AIR LINES INC.,ON_TIME,SLC,SLC,CANCELLED,ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATLANTA,UNITED STATES,33.6408,-84.4272,2025-05-17T22:44:00.000-04:00,2025-05-17T22:44:00.000-04:00,MCI,KANSAS CITY INTERNATIONAL AIRPORT,KANSAS CITY,UNITED STATES,39.2928,-94.7267,2025-05-17T23:56:00.000-05:00,2025-05-17T23:56:00.000-05:00,2025-05-17T23:56:00.000-05:00,BOEING 757 PASSENGER,757,PT2H12M
1085,2025-05-18,20250518+DL+1085,DL,DELTA AIR LINES INC.,ON_TIME,SLC,SLC,ARRIVED,SLC,SALT LAKE CITY INTERNATIONAL AIRPORT,SALT LAKE CITY,UNITED STATES,40.7842,-111.9669,2025-05-18T17:13:00.000-06:00,2025-05-18T17:13:00.000-06:00,SFO,SAN FRANCISCO INTERNATIONAL AIRPORT,SAN FRANCISCO,UNITED STATES,37.6194,-122.3728,2025-05-18T18:25:00.000-07:00,2025-05-18T18:25:00.000-07:00,2025-05-18T18:25:00.000-07:00,AIRBUS A220-300 PASSENGER,223,PT2H12M
1085,2025-05-18,20250518+DL+1085,DL,DELTA AIR LINES INC.,ON_TIME,SLC,SLC,ARRIVED,SFO,SAN FRANCISCO INTERNATIONAL AIRPORT,SAN FRANCISCO,UNITED STATES,37.6194,-122.3728,2025-05-18T19:20:00.000-07:00,2025-05-18T19:20:00.000-07:00,SLC,SALT LAKE CITY INTERNATIONAL AIRPORT,SALT LAKE CITY,UNITED STATES,40.7842,-111.9669,2025-05-18T22:15:00.000-06:00,2025-05-18T22:15:00.000-06:00,2025-05-18T22:15:00.000-06:00,AIRBUS A220-300 PASSENGER,223,PT1H55M
2021,2025-05-18,20250518+DL+2021,DL,DELTA AIR LINES INC.,ON_TIME,ATL,LIT,CANCELLED,ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATLANTA,UNITED STATES,33.6408,-84.4272,2025-05-18T14:05:00.000-04:00,2025-05-18T14:05:00.000-04:00,MEM,MEMPHIS INTERNATIONAL AIRPORT,MEMPHIS,UNITED STATES,35.0497,-89.9789,2025-05-18T14:25:00.000-05:00,2025-05-18T14:25:00.000-05:00,2025-05-18T14:25:00.000-05:00,BOEING 737-900 PASSENGER,739,PT1H20M
2021,2025-05-18,20250518+DL+2021,DL,DELTA AIR LINES INC.,ON_TIME,ATL,LIT,CANCELLED,MEM,MEMPHIS INTERNATIONAL AIRPORT,MEMPHIS,UNITED STATES,35.0497,-89.9789,2025-05-18T15:35:00.000-05:00,2025-05-18T15:35:00.000-05:00,ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATLANTA,UNITED STATES,33.6408,-84.4272,2025-05-18T17:56:00.000-04:00,2025-05-18T17:56:00.000-04:00,2025-05-18T17:56:00.000-04:00,BOEING 737-900 PASSENGER,739,PT1H21M
2021,2025-05-18,20250518+DL+2021,DL,DELTA AIR LINES INC.,ON_TIME,ATL,LIT,CANCELLED,ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATLANTA,UNITED STATES,33.6408,-84.4272,2025-05-18T11:02:00.000-04:00,2025-05-18T11:02:00.000-04:00,FLL,FORT LAUDERDALE INTERNATIONAL AIRPORT,FORT LAUDERDALE,UNITED STATES,26.0742,-80.1517,2025-05-18T13:05:00.000-04:00,2025-05-18T13:05:00.000-04:00,2025-05-18T13:05:00.000-04:00,BOEING 757 PASSENGER,757,PT2H3M
2021,2025-05-18,20250518+DL+2021,DL,DELTA AIR LINES INC.,ON_TIME,ATL,LIT,CANCELLED,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,33.9422,-118.4072,2025-05-18T15:30:00.000-07:00,2025-05-18T15:30:00.000-07:00,LAS,HARRY REID INTL,LAS VEGAS,UNITED STATES,36.08,-115.1522,2025-05-18T16:44:00.000-07:00,2025-05-18T16:44:00.000-07:00,2025-05-18T16:44:00.000-07:00,AIRBUS A319,319,PT1H14M
2021,2025-05-18,20250518+DL+2021,DL,DELTA AIR LINES INC.,ON_TIME,ATL,LIT,CANCELLED,FLL,FORT LAUDERDALE INTERNATIONAL AIRPORT,FORT LAUDERDALE,UNITED STATES,26.0742,-80.1517,2025-05-18T14:10:00.000-04:00,2025-05-18T14:10:00.000-04:00,ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATLANTA,UNITED STATES,33.6408,-84.4272,2025-05-18T16:15:00.000-04:00,2025-05-18T16:15:00.000-04:00,2025-05-18T16:15:00.000-04:00,BOEING 757 PASSENGER,757,PT2H5M
2021,2025-05-18,20250518+DL+2021,DL,DELTA AIR LINES INC.,ON_TIME,ATL,LIT,CANCELLED,LAS,HARRY REID INTL,LAS VEGAS,UNITED STATES,36.08,-115.1522,2025-05-18T17:45:00.000-07:00,2025-05-18T17:45:00.000-07:00,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,33.9422,-118.4072,2025-05-18T19:03:00.000-07:00,2025-05-18T19:03:00.000-07:00,2025-05-18T19:03:00.000-07:00,AIRBUS A319,319,PT1H18M
2021,2025-05-18,20250518+DL+2021,DL,DELTA AIR LINES INC.,ON_TIME,ATL,LIT,ARRIVED,ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATLANTA,UNITED STATES,33.6408,-84.4272,2025-05-17T22:59:00.000-04:00,2025-05-17T22:59:00.000-04:00,LIT,LITTLE ROCK CLINTON NATIONAL AIRPORT,LITTLE ROCK,UNITED STATES,34.7292,-92.2344,2025-05-17T23:36:00.000-05:00,2025-05-17T23:36:00.000-05:00,2025-05-17T23:36:00.000-05:00,BOEING 737-800 PASSENGER,738,PT1H37M
366,2025-05-18,20250518+DL+0366,DL,DELTA AIR LINES INC.,ON_TIME,ATL,ATL,CANCELLED,FAI,FAIRBANKS INTERNATIONAL AIRPORT,FAIRBANKS,UNITED STATES,64.8144,-147.8628,2025-05-18T22:10:00.000-08:00,2025-05-18T22:10:00.000-08:00,MSP,MINNEAPOLIS INTERNATIONAL AIRPORT,MINNEAPOLIS/ST PAUL,UNITED STATES,44.8861,-93.2178,2025-05-19T06:29:00.000-05:00,2025-05-19T06:29:00.000-05:00,2025-05-19T06:29:00.000-05:00,BOEING 737-900 PASSENGER,739,PT5H19M
366,2025-05-18,20250518+DL+0366,DL,DELTA AIR LINES INC.,ON_TIME,ATL,ATL,CANCELLED,MSP,MINNEAPOLIS INTERNATIONAL AIRPORT,MINNEAPOLIS/ST PAUL,UNITED STATES,44.8861,-93.2178,2025-05-18T18:10:00.000-05:00,2025-05-18T18:10:00.000-05:00,FAI,FAIRBANKS INTERNATIONAL AIRPORT,FAIRBANKS,UNITED STATES,64.8144,-147.8628,2025-05-18T20:53:00.000-08:00,2025-05-18T20:53:00.000-08:00,2025-05-18T20:53:00.000-08:00,BOEING 737-900 PASSENGER,739,PT5H43M
366,2025-05-18,20250518+DL+0366,DL,DELTA AIR LINES INC.,ON_TIME,ATL,ATL,CANCELLED,MSP,MINNEAPOLIS INTERNATIONAL AIRPORT,MINNEAPOLIS/ST PAUL,UNITED STATES,44.8861,-93.2178,2025-05-18T18:35:00.000-05:00,2025-05-18T18:35:00.000-05:00,YVR,VANCOUVER INTERNATIONAL AIRPORT,VANCOUVER,CANADA,49.1872,-123.1853,2025-05-18T20:27:00.000-07:00,2025-05-18T20:27:00.000-07:00,2025-05-18T20:27:00.000-07:00,AIRBUS A320,320,PT3H52M
366,2025-05-18,20250518+DL+0366,DL,DELTA AIR LINES INC.,ON_TIME,ATL,ATL,CANCELLED,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,33.9422,-118.4072,2025-05-18T11:59:00.000-07:00,2025-05-18T11:59:00.000-07:00,ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATLANTA,UNITED STATES,33.6408,-84.4272,2025-05-18T19:24:00.000-04:00,2025-05-18T19:24:00.000-04:00,2025-05-18T19:24:00.000-04:00,AIRBUS A321,321,PT4H25M
366,2025-05-18,20250518+DL+0366,DL,DELTA AIR LINES INC.,ON_TIME,ATL,ATL,CANCELLED,OGG,KAHULUI AIRPORT,KAHULUI,UNITED STATES,20.9006,-156.4336,2025-05-17T20:30:00.000-10:00,2025-05-17T20:30:00.000-10:00,SLC,SALT LAKE CITY INTERNATIONAL AIRPORT,SALT LAKE CITY,UNITED STATES,40.7842,-111.9669,2025-05-18T06:30:00.000-06:00,2025-05-18T06:30:00.000-06:00,2025-05-18T06:30:00.000-06:00,BOEING 767-300 WINGLETS PASSENGER,76W,PT6H
366,2025-05-18,20250518+DL+0366,DL,DELTA AIR LINES INC.,ON_TIME,ATL,ATL,CANCELLED,PDX,PORTLAND INTERNATIONAL AIRPORT,PORTLAND,UNITED STATES,45.5892,-122.595,2025-05-18T13:05:00.000-07:00,2025-05-18T13:05:00.000-07:00,JFK,JOHN F. KENNEDY INTERNATIONAL AIRPORT,NEW YORK,UNITED STATES,40.6386,-73.7769,2025-05-18T21:23:00.000-04:00,2025-05-18T21:23:00.000-04:00,2025-05-18T21:23:00.000-04:00,BOEING 737-900 PASSENGER,739,PT5H18M
366,2025-05-18,20250518+DL+0366,DL,DELTA AIR LINES INC.,ON_TIME,ATL,ATL,ARRIVED,ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATLANTA,UNITED STATES,33.6408,-84.4272,2025-05-18T13:40:00.000-04:00,2025-05-18T13:40:00.000-04:00,PHX,SKY HARBOR INTERNATIONAL AIRPORT,PHOENIX,UNITED STATES,33.4353,-112.0119,2025-05-18T14:50:00.000-07:00,2025-05-18T14:50:00.000-07:00,2025-05-18T14:50:00.000-07:00,BOEING 757 PASSENGER,757,PT4H10M
366,2025-05-18,20250518+DL+0366,DL,DELTA AIR LINES INC.,ON_TIME,ATL,ATL,ARRIVED,PHX,SKY HARBOR INTERNATIONAL AIRPORT,PHOENIX,UNITED STATES,33.4353,-112.0119,2025-05-18T15:00:00.000-07:00,2025-05-18T15:00:00.000-07:00,ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATLANTA,UNITED STATES,33.6408,-84.4272,2025-05-18T21:40:00.000-04:00,2025-05-18T21:40:00.000-04:00,2025-05-18T21:40:00.000-04:00,BOEING 757 PASSENGER,757,PT3H40M
1352,2025-05-18,20250518+DL+1352,DL,DELTA AIR LINES INC.,ON_TIME,ROA,ATL,CANCELLED,SLC,SALT LAKE CITY INTERNATIONAL AIRPORT,SALT LAKE CITY,UNITED STATES,40.7842,-111.9669,2025-05-18T15:27:00.000-06:00,2025-05-18T15:27:00.000-06:00,SFO,SAN FRANCISCO INTERNATIONAL AIRPORT,SAN FRANCISCO,UNITED STATES,37.6194,-122.3728,2025-05-18T16:31:00.000-07:00,2025-05-18T16:31:00.000-07:00,2025-05-18T16:31:00.000-07:00,BOEING 737-800 PASSENGER,738,PT2H4M
1352,2025-05-18,20250518+DL+1352,DL,DELTA AIR LINES INC.,ON_TIME,ROA,ATL,CANCELLED,SFO,SAN FRANCISCO INTERNATIONAL AIRPORT,SAN FRANCISCO,UNITED STATES,37.6194,-122.3728,2025-05-18T17:21:00.000-07:00,2025-05-18T17:21:00.000-07:00,SLC,SALT LAKE CITY INTERNATIONAL AIRPORT,SALT LAKE CITY,UNITED STATES,40.7842,-111.9669,2025-05-18T20:15:00.000-06:00,2025-05-18T20:15:00.000-06:00,2025-05-18T20:15:00.000-06:00,BOEING 737-800 PASSENGER,738,PT1H54M
1352,2025-05-18,20250518+DL+1352,DL,DELTA AIR LINES INC.,ON_TIME,ROA,ATL,ARRIVED,ROA,ROANOKE REGIONAL (WOODRUM FLD) AIRPORT,ROANOKE,UNITED STATES,37.3247,-79.9764,2025-05-18T06:00:00.000-04:00,2025-05-18T06:00:00.000-04:00,ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATLANTA,UNITED STATES,33.6408,-84.4272,2025-05-18T07:30:00.000-04:00,2025-05-18T07:30:00.000-04:00,2025-05-18T07:30:00.000-04:00,AIRBUS A320,320,PT1H30M
1136,2025-05-18,20250518+DL+1136,DL,DELTA AIR LINES INC.,ON_TIME,OMA,ATL,CANCELLED,DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DETROIT,UNITED STATES,42.2186,-83.3486,2025-05-18T17:45:00.000-04:00,2025-05-18T17:45:00.000-04:00,EWR,NEWARK LIBERTY INTERNATIONAL AIRPORT,NEW YORK,UNITED STATES,40.6958,-74.1717,2025-05-18T19:29:00.000-04:00,2025-05-18T19:29:00.000-04:00,2025-05-18T19:29:00.000-04:00,BOEING 717-200,717,PT1H44M
